country,Internet users (per 100 people),urban population in %
"Micronesia, Fed. Sts.",29.65,22.378
Kyrgyz Republic,28.3,35.585
Syrian Arab Republic,28.09,57.255
Swaziland,27.1,21.315
Mongolia,27.0,71.222
Pacific island small states,26.6331225128195,37.232263359380795
Small states,26.3799180755841,46.1764344409457
Sri Lanka,25.8,18.32
Sudan,24.64,33.623
Sao Tome and Principe,24.41,64.511
Guatemala,23.4,51.115
Lower middle income,22.5551514519941,38.5320407821831
"Yemen, Rep.",22.55,34.027
Angola,21.26,43.274
Samoa,21.2,19.26
Zimbabwe,19.89,32.501
Sub-Saharan Africa (all income levels),19.2212447812268,37.2317152386877
Sub-Saharan Africa (developing only),19.2181330694094,37.228051269207604
Honduras,19.08,54.137
Ghana,18.9,53.392
Equatorial Guinea,18.86,39.756
Vanuatu,18.8,25.817
Botswana,18.5,57.187
Other small states,18.3925682450413,48.5403679194934
Algeria,18.09,70.129
India,18.0,32.366
Libya,17.76,78.359
Uganda,17.71,15.766
Senegal,17.7,43.393
Nicaragua,17.6,58.459
Tajikistan,17.49,26.692
Zambia,17.34,40.472
Indonesia,17.14,53.003
Marshall Islands,16.8,72.424
South Asia,16.609924693718902,32.604169977253
South Sudan,15.9,18.591
"Gambia, The",15.56,59.015
Nepal,15.44,18.243
Namibia,14.84,45.678
Cote d'Ivoire,14.6,53.479
Lao PDR,14.26,37.551
Pakistan,13.8,38.303
Kiribati,12.25,44.173
Turkmenistan,12.2,49.688
Fragile and conflict affected situations,11.5312545592712,40.7467685104569
Haiti,11.4,57.436
Iraq,11.3,69.361
Cameroon,11.0,53.819
Lesotho,11.0,26.789
Djibouti,10.71,77.262
Mauritania,10.7,59.255
Rwanda,10.6,27.841
Gabon,9.81,86.92
Bangladesh,9.6,33.516
Burkina Faso,9.4,29.024
Papua New Guinea,9.38,12.985
Cambodia,9.0,20.514
Solomon Islands,9.0,21.876
Heavily indebted poor countries (HIPC),8.86529118205637,34.1313321138381
Least developed countries: UN classification,8.636392150232401,31.018420416793102
"Congo, Rep.",7.11,64.957
Mali,7.0,39.143
Comoros,6.98,28.193
Afghanistan,6.39,26.282
Low income,6.2909866250760995,29.767945044197198
Mozambique,5.94,31.934
Malawi,5.83,16.102
Togo,5.7,39.469
Liberia,5.41,49.308
Benin,5.3,43.514
Tanzania,4.86,30.901
Central African Republic,4.03,39.759
Madagascar,3.7,34.468
Guinea-Bissau,3.32,48.55
"Congo, Dem. Rep.",3.0,41.976
Ethiopia,2.9,19.028
Chad,2.5,22.341
Myanmar,2.1,33.551
Sierra Leone,2.1,39.578
Niger,1.95,18.469
Guinea,1.72,36.68
Somalia,1.63,39.078
Burundi,1.38,11.761
Timor-Leste,1.14,32.131
Eritrea,0.99,22.193
"Korea, Dem. Rep.",0.0,60.715
